seed,total_train_units,sel_ratio,sel_sensor_num,method,initial_units_nums_ratio,initial_units_nums,update_period_ratio,update_period,rmse_test,mape_test,mae_test,time(s)
1,100,0.1,1,genetic,1,100,0,0,39.689,0.2925,29.378474603740703,1472.703125
1,100,0.2,2,genetic,1,100,0,0,37.7041,0.2793,27.929219047266688,1471.609375
1,100,0.4,5,genetic,1,100,0,0,35.3971,0.2609,26.23397980284996,1471.78125
1,100,0.8,11,genetic,1,100,0,0,33.6314,0.2382,24.430139309321884,1470.359375
2,100,0.1,1,genetic,1,100,0,0,42.7209,0.3291,32.71830972126318,1483.5625
2,100,0.2,2,genetic,1,100,0,0,40.5862,0.3061,31.14025583011881,1498.484375
2,100,0.4,5,genetic,1,100,0,0,40.2674,0.2903,30.104899093432124,1501.171875
2,100,0.8,11,genetic,1,100,0,0,39.7991,0.2846,29.737622361102357,1502.09375
3,100,0.1,1,genetic,1,100,0,0,43.0116,0.308,32.71242919847867,1495.171875
3,100,0.2,2,genetic,1,100,0,0,40.1937,0.2752,30.0301689834636,1494.828125
3,100,0.4,5,genetic,1,100,0,0,38.0237,0.2638,28.42069014151252,1503.140625
3,100,0.8,11,genetic,1,100,0,0,36.84,0.2503,27.102813263047832,1510.65625
4,100,0.1,1,genetic,1,100,0,0,45.7499,0.3114,33.867127959732,1460.921875
4,100,0.2,2,genetic,1,100,0,0,42.0085,0.2819,30.947276800670856,1471.28125
4,100,0.4,5,genetic,1,100,0,0,37.6698,0.2436,27.773786874853386,1468.9375
4,100,0.8,11,genetic,1,100,0,0,37.6876,0.2412,27.63982323370313,1473.640625
5,100,0.1,1,genetic,1,100,0,0,37.9027,0.3012,29.902754181199438,1460.71875
5,100,0.2,2,genetic,1,100,0,0,37.6197,0.2784,28.820988900355307,1462.921875
5,100,0.4,5,genetic,1,100,0,0,36.5942,0.2605,27.508425188122597,1467.59375
5,100,0.8,11,genetic,1,100,0,0,35.0495,0.2472,26.157657681782027,1472.15625
6,100,0.1,1,genetic,1,100,0,0,43.1883,0.3044,32.52141157190997,1463.828125
6,100,0.2,2,genetic,1,100,0,0,43.7131,0.3263,33.31322052370713,1464.984375
6,100,0.4,5,genetic,1,100,0,0,40.5553,0.2818,29.949918327111515,1468.640625
6,100,0.8,11,genetic,1,100,0,0,37.3546,0.257,27.606607543419283,1469.90625
7,100,0.1,1,genetic,1,100,0,0,48.7371,0.3701,37.36610750337475,1463.140625
7,100,0.2,2,genetic,1,100,0,0,43.1917,0.3029,31.819374349594383,1467.78125
7,100,0.4,5,genetic,1,100,0,0,40.321,0.2816,30.12396256616786,1467.046875
7,100,0.8,11,genetic,1,100,0,0,38.213,0.2613,28.5758561111588,1470.859375
8,100,0.1,1,genetic,1,100,0,0,39.6625,0.2774,29.31520465880675,1469.3125
8,100,0.2,2,genetic,1,100,0,0,38.3712,0.2623,28.1399835507671,1467.109375
8,100,0.4,5,genetic,1,100,0,0,38.4628,0.26,27.89205172027796,1466.921875
8,100,0.8,11,genetic,1,100,0,0,38.2566,0.258,27.7312389960889,1469.65625
9,100,0.1,1,genetic,1,100,0,0,45.0988,0.3249,34.39317304759544,1460.28125
9,100,0.2,2,genetic,1,100,0,0,41.8435,0.2863,30.64744016413412,1464.40625
9,100,0.4,5,genetic,1,100,0,0,37.9072,0.2652,28.37873357667161,1470.125
9,100,0.8,11,genetic,1,100,0,0,34.8733,0.2381,25.99556941795181,1470.890625
